Country,Weight,Emission 
United States,5.29,0.2079
Mexico,0.05,0.452483345
Honduras,0.01,0.415487352
Dominican Republic,0.02,0.641741728
Venezuela,0.46,0.208069719
Colombia,0.03,0.111425218
Peru,0.02,0.237721212
Brasil,0.03,0.092643638
Trinidad ,0.05,0.766677522
Paraguay,0.22,0
Argentina,0.01,0.391932833
Canada,0.9,0.179763325
