"","dateB","difficulty","hashrate","price","revenue","bitcoin"
"1",2017-01-01,317688400354,2463610.66220928,964.84,1970085.32495516,0.00103644127523734
"2",2017-01-02,317688400354,2526780.16636849,997.36,2138666.02144959,0.00100264698804845
"3",2017-01-03,317688400354,2589949.6705277,1013.42,2245225.0916189,0.000986757711511516
"4",2017-01-04,317688400354,2432025.91012967,1037.83,2332472.03537403,0.000963548943468584
"5",2017-01-05,317688400354,2210932.64557243,1109.16,2009800.81508544,0.000901583180064193
"6",2017-01-06,317688400354,2542572.54240829,999.65,1998357.99063241,0.00100035012254289
"7",2017-01-07,317688400354,2195140.26953263,891.95,1591509.29207556,0.00112113907730254
"8",2017-01-08,317688400354,2637326.79864711,906.16,1990960.48636603,0.00110355787057473
"9",2017-01-09,317688400354,2147763.14141322,910.49,1630568.17954383,0.00109830970136959
"10",2017-01-10,319489481520.344,2679581.83959097,896.92,1939796.80987879,0.00111492663782723
"11",2017-01-11,336899932795,2562350.13410886,903.66,1724412.85485079,0.00110661089347764
"12",2017-01-12,336899932795,2897297.86405773,780.92,1782924.4669254,0.00128054090047636
"13",2017-01-13,336899932795,2528855.36111398,805.52,1590739.0391092,0.00124143410467772
"14",2017-01-14,336899932795,2880550.47756029,825,1922419.87738231,0.00121212121212121
"15",2017-01-15,336899932795,2796813.54507307,819.55,1759094.94140748,0.00122018180708926
"16",2017-01-16,336899932795,2830308.31806796,822.01,1890860.27174246,0.00121653021252783
"17",2017-01-17,336899932795,2646087.06659608,830.56,1911475.33973285,0.00120400693507995
"18",2017-01-18,336899932795,2528855.36111398,906.6,1743249.94841247,0.00110302228105008
"19",2017-01-19,336899932795,2914045.25055518,885.44,2054585.92331712,0.00112938200216841
"20",2017-01-20,336899932795,3165256.04801683,903.1,2264569.90227644,0.00110729708780866
"21",2017-01-21,336899932795,3031276.95603728,895.64,2201839.33023417,0.00111652003036934
"22",2017-01-22,339477557142.08,3398969.89226469,921.99,2075068.61317516,0.00108461046215252
"23",2017-01-23,392963262344,2715269.05186662,922.33,1683925.09571495,0.00108421064044323
"24",2017-01-24,392963262344,2910612.14912321,919.97,1810841.27035711,0.00108699196712936
"25",2017-01-25,392963262344,2930146.45884887,883.59,1783698.25711042,0.00113174662456569
"26",2017-01-26,392963262344,3066886.62692848,893.14,1864867.30879591,0.00111964529637011
"27",2017-01-27,392963262344,3320832.65336205,915.05,2050038.68072294,0.00109283645702421
"28",2017-01-28,392963262344,2969215.07830019,918.01,1879276.99660809,0.00108931275258439
"29",2017-01-29,392963262344,3262229.72418507,918.62,2072803.25974792,0.0010885894058479
"30",2017-01-30,392963262344,2852009.21994623,912.19,1795537.90492621,0.00109626283997851
"31",2017-01-31,392963262344,2832474.91022057,920,1941511.11537906,0.00108695652173913
"32",2017-02-01,392963262344,3750587.46732655,964.1,2481667.38481435,0.00103723680116171
"33",2017-02-02,392963262344,3066886.62692848,983.42,2186504.05543344,0.00101685953102438
"34",2017-02-03,392963262344,2910612.14912321,1008.67,2050478.54314309,0.000991404522787433
"35",2017-02-04,393567551403.428,3043000.84286989,1015.65,1975355.92149189,0.000984591148525575
"36",2017-02-05,422170566883,3336807.82080216,1034.07,2203638.3140676,0.000967052520622395
"37",2017-02-06,422170566883,2623276.58868094,1011.08,1757705.55725816,0.000989041421054714
"38",2017-02-07,422170566883,3168918.11912658,1023.96,2175238.10451828,0.000976600648462831
"39",2017-02-08,422170566883,3063987.05557934,1052.84,2085023.01932909,0.000949811937236427
"40",2017-02-09,422170566883,3546669.94789663,1050.7,2395178.56798342,0.000951746454744456
"41",2017-02-10,422170566883,3105959.48099823,985.34,1972446.17663961,0.00101487811313861
"42",2017-02-11,422170566883,2917083.5666132,997.59,1853403.10750002,0.00100241582213134
"43",2017-02-12,422170566883,2959055.9920321,1012.46,1849457.27798897,0.000987693340971495
"44",2017-02-13,422170566883,3420752.67163994,1000.74,2178384.19906273,0.000999260547195076
"45",2017-02-14,422170566883,3546669.94789663,1001.2,2357500.75735773,0.000998801438274071
"46",2017-02-15,422170566883,2917083.5666132,1007.08,1906440.00391577,0.000992969774000079
"47",2017-02-16,422170566883,3189904.33183602,1011.25,2102990.20200481,0.000988875154511743
"48",2017-02-17,422170566883,3168918.11912658,1035.2,2146125.84434262,0.000965996908809892
"49",2017-02-18,432944392642.632,3330515.74407375,1054.55,2210588.07426995,0.000948271774690626
"50",2017-02-19,440779902286,2936112.56385449,1056,2008419.45710556,0.000946969696969697
"51",2017-02-20,440779902286,3242870.59291391,1050.87,2148454.96743745,0.000951592490032069
"52",2017-02-21,440779902286,3023757.71501432,1084.06,2107035.34411835,0.000922458166522148
"53",2017-02-22,440779902286,3045669.00280428,1125,2152117.27459859,0.000888888888888889
