Date,Price
31/12/2020,0.0173568
31/12/2019,0.0166838
31/12/2018,0.0169128
31/12/2017,0.0175265
31/12/2016,0.0152235
31/12/2015,0.0167785
31/12/2014,0.0254478
31/12/2013,0.0284296
31/12/2012,0.0280755
